citation_id,verification_status,verification_category,verification_subcategory,verification_confidence,bibliographic_score,semantic_label,semantic_score,semantic_skipped,semantic_skip_reason,selected_source,selected_match_type,selected_candidate_db,selected_candidate_title,verification_explanation,semantic_explanation,combined_label,needs_review
21,partially_verified,Partially Verified,venue_mismatch,0.97,0.765,supported,0.0,False,,lexical,lexical_top_1,arxiv,Measuring Massive Multitask Language Understanding,Selected candidate came from lexical; title=exact; authors=exact; year=partial; venue=mismatch; overall_status=partially_verified.,"The abstract discusses a test for measuring multitask language understanding, which aligns with the evaluation of various benchmarks for language and reasoning capabilities in the expanded context.",promising_but_needs_review,True
22,verified,Verified,strong_metadata_match,0.93,0.87,supported,0.0,False,,exact,title_year_exact,arxiv,The Llama 3 Herd of Models,Selected candidate came from exact; title=exact; authors=exact; year=exact; venue=partial; overall_status=verified.,"The abstract discusses the Llama 3 models, their capabilities, and performance on various tasks, which aligns with the context of evaluating model performance after security optimization.",strongly_supported_citation,False
23,verified,Verified,exact_identifier_match,0.99,0.92,supported,0.0,False,,exact,arxiv_id_exact,arxiv,Gemma 3 Technical Report,Selected candidate came from exact; title=exact; authors=partial; year=exact; venue=partial; arxiv_id=exact; overall_status=verified.,"The abstract directly discusses the introduction and improvements of Gemma 3, which aligns with the mention of Gemma3 in the expanded context.",strongly_supported_citation,False
25,hallucinated,Not Verified,title_mismatch,0.3138,0.165,unsupported,0.0,False,,lexical,lexical_top_1,arxiv,A Comprehensive Study of Short Bursts from SGR 1806-20 and SGR 1900+14 Detected by HETE-2,Selected candidate came from lexical; title=mismatch; authors=mismatch; year=partial; venue=mismatch; overall_status=hallucinated.,The abstract discusses astronomical observations and does not relate to software security or concurrency bugs.,likely_problematic,True
26,partially_verified,Partially Verified,multiple_metadata_mismatches,0.9375,0.7825,skipped,0.0,True,no_candidate_abstract,lexical,lexical_top_1,dblp,SoK: Eternal War in Memory.,Selected candidate came from lexical; title=exact; authors=partial; year=exact; venue=partial; overall_status=partially_verified.,no_candidate_abstract,needs_manual_review,True
27,hallucinated,Not Verified,title_mismatch,0.425,0.2,unsupported,0.0,False,,lexical,lexical_top_1,arxiv,A Survey on Open Problems for Mobile Robots,Selected candidate came from lexical; title=mismatch; authors=mismatch; year=exact; venue=mismatch; overall_status=hallucinated.,"The abstract discusses mobile robots and their problems, while the citation is about mobile malware. There is no overlap in the topics.",likely_problematic,True
28,partially_verified,Partially Verified,venue_mismatch,0.9722,0.8,skipped,0.0,True,no_candidate_abstract,lexical,lexical_top_1,dblp,"FlowDroid: precise context, flow, field, object-sensitive and lifecycle-aware taint analysis for Android apps.",Selected candidate came from lexical; title=exact; authors=exact; year=exact; venue=mismatch; overall_status=partially_verified.,no_candidate_abstract,needs_manual_review,True
29,verified,Verified,exact_identifier_match,0.99,0.92,unsupported,0.0,False,,exact,arxiv_id_exact,arxiv,TwinBreak: Jailbreaking LLM Security Alignments based on Twin Prompts,Selected candidate came from exact; title=exact; authors=partial; year=exact; venue=partial; arxiv_id=exact; overall_status=verified.,"The abstract discusses techniques for bypassing security mechanisms in LLMs, which is unrelated to the cited context about memory safety vulnerabilities in C++, Java, and other programming languages.",bibliographically_valid_but_semantically_unsupported,True
30,partially_verified,Partially Verified,venue_mismatch,0.97,0.765,supported,0.0,False,,lexical,lexical_top_1,arxiv,NeuroStrike: Neuron-Level Attacks on Aligned LLMs,Selected candidate came from lexical; title=exact; authors=exact; year=partial; venue=mismatch; overall_status=partially_verified.,"The abstract discusses neuron-level attacks on large language models (LLMs), which aligns with the citation's focus on neuron-level attacks on aligned LLMs. The abstract also mentions the importance of identifying and targeting specific neurons, which supports the expanded context about neuron identification methods.",promising_but_needs_review,True
31,hallucinated,Not Verified,title_mismatch,0.3486,0.165,unsupported,0.0,False,,lexical,lexical_top_1,arxiv,The Making of Cloud Applications An Empirical Study on Software Development for the Cloud,Selected candidate came from lexical; title=mismatch; authors=mismatch; year=partial; venue=mismatch; overall_status=hallucinated.,"The abstract discusses cloud computing and software development practices in the cloud, which is unrelated to the copy and paste behavior during software development as studied in the cited paper.",likely_problematic,True
32,verified,Verified,exact_identifier_match,0.99,0.92,supported,0.0,False,,exact,arxiv_id_exact,arxiv,Secure-Instruct: An Automated Pipeline for Synthesizing Instruction-Tuning Datasets Using LLMs for Secure Code Generation,Selected candidate came from exact; title=exact; authors=exact; year=exact; venue=partial; arxiv_id=exact; overall_status=verified.,"The abstract discusses the importance of generating secure code and improving the security of code generated by LLMs, which aligns with the context about the significance of secure code in development workflows.",strongly_supported_citation,False
33,verified,Verified,exact_identifier_match,0.99,0.92,supported,0.0,False,,exact,arxiv_id_exact,arxiv,HexaCoder: Secure Code Generation via Oracle-Guided Synthetic Training Data,Selected candidate came from exact; title=exact; authors=partial; year=exact; venue=partial; arxiv_id=exact; overall_status=verified.,"The abstract discusses enhancing secure code generation using a novel approach called HexaCoder, which aligns with the context of improving secure coding practices through synthetic training data.",strongly_supported_citation,False
34,partially_verified,Partially Verified,venue_mismatch,1.0,0.8,supported,0.0,False,,lexical,lexical_top_1,arxiv,PromSec: Prompt Optimization for Secure Generation of Functional Source Code with Large Language Models (LLMs),Selected candidate came from lexical; title=exact; authors=exact; year=exact; venue=mismatch; overall_status=partially_verified.,"The abstract discusses the use of PromSec to optimize prompt generation for secure and functional code with LLMs, which aligns with the context about reducing training costs through PEFT methods and improving security outcomes.",promising_but_needs_review,True
35,partially_verified,Partially Verified,multiple_metadata_mismatches,1.0,0.7125,supported,0.0,False,,lexical,lexical_top_1,arxiv,Demo: SGCode: A Flexible Prompt-Optimizing System for Secure Generation of Code,Selected candidate came from lexical; title=partial; authors=exact; year=exact; venue=mismatch; overall_status=partially_verified.,"The abstract directly describes SGCode as a flexible prompt-optimizing system for secure code generation, aligning with the context provided.",promising_but_needs_review,True
36,verified,Verified,exact_identifier_match,0.99,0.92,supported,0.0,False,,exact,arxiv_id_exact,arxiv,SecCoder: Towards Generalizable and Robust Secure Code Generation,Selected candidate came from exact; title=exact; authors=exact; year=exact; venue=partial; arxiv_id=exact; overall_status=verified.,"The abstract directly addresses the need for secure code generation methods with improved generalizability and robustness, which aligns with the context provided.",strongly_supported_citation,False
