citation_id,verification_status,verification_category,verification_subcategory,author_status,year_status,verification_confidence,bibliographic_score,semantic_label,semantic_score,semantic_skipped,semantic_skip_reason,selected_source,selected_match_type,selected_candidate_db,selected_candidate_title,verification_explanation,semantic_explanation,combined_label,needs_review
11,verified,Verified,exact_identifier_match,match,match,0.99,0.95,supported,0.8,False,,exact,arxiv_id_exact,arxiv,"Fine-tuning Aligned Language Models Compromises Safety, Even When Users Do Not Intend To!",Selected candidate came from exact; title=exact; authors=exact; year=exact; arxiv_id=exact; overall_status=verified.,"The abstract discusses the risks associated with fine-tuning LLMs, including the potential compromise of safety even without malicious intent, which aligns with the context provided.",strongly_supported_citation,False
12,partially_verified,Partially Verified,minor_title_mismatch,match,match,0.9,0.8,skipped,0.0,True,no_candidate_abstract,lexical,lexical_top_1,dblp,LoRA: Low-Rank Adaptation of Large Language Models.,Selected candidate came from lexical; title=partial; authors=exact; year=exact; overall_status=partially_verified.,no_candidate_abstract,needs_manual_review,True
13,verified,Verified,strong_metadata_match,match,match,1.0,0.9,skipped,0.0,True,no_candidate_abstract,lexical,lexical_top_1,dblp,Parameter-efficient fine-tuning of large-scale pre-trained language models.,Selected candidate came from lexical; title=exact; authors=exact; year=exact; overall_status=verified.,no_candidate_abstract,needs_manual_review,True
14,verified,Verified,exact_identifier_match,match,match,0.99,0.95,supported,1.0,False,,exact,arxiv_id_exact,arxiv,Code Llama: Open Foundation Models for Code,Selected candidate came from exact; title=exact; authors=exact; year=exact; arxiv_id=exact; overall_status=verified.,"The abstract directly mentions the release of Code Llama as a family of large language models for code, which aligns with the expanded context provided.",strongly_supported_citation,False
15,hallucinated,Not Verified,no_candidate_found,mismatch,mismatch,0.0,0.0,skipped,0.0,True,no_selected_candidate,,,,,No fused candidate was available for verification.,no_selected_candidate,likely_problematic,True
16,verified,Verified,exact_identifier_match,match,match,0.99,0.95,unsupported,0.0,False,,exact,arxiv_id_exact,arxiv,Parameter-Efficient Fine-Tuning for Foundation Models,Selected candidate came from exact; title=exact; authors=exact; year=exact; arxiv_id=exact; overall_status=verified.,The abstract does not discuss parameter-efficient fine-tuning from an optimization perspective or the limitations of coarse granularity as mentioned in the context.,bibliographically_valid_but_semantically_unsupported,True
17,hallucinated,Not Verified,no_candidate_found,mismatch,mismatch,0.0,0.0,skipped,0.0,True,no_selected_candidate,,,,,No fused candidate was available for verification.,no_selected_candidate,likely_problematic,True
19,verified,Verified,strong_metadata_match,match,match,1.0,0.9,skipped,0.0,True,no_candidate_abstract,lexical,lexical_top_1,dblp,A Survey on LLM-as-a-Judge.,Selected candidate came from lexical; title=exact; authors=exact; year=exact; overall_status=verified.,no_candidate_abstract,needs_manual_review,True
20,verified,Verified,exact_identifier_match,partial,match,0.99,0.92,partially_supported,0.5,False,,exact,arxiv_id_exact,arxiv,"Think you have Solved Question Answering? Try ARC, the AI2 Reasoning Challenge",Selected candidate came from exact; title=exact; authors=partial; year=exact; arxiv_id=exact; overall_status=verified.,"The abstract discusses the AI2 Reasoning Challenge (ARC) and its requirements for advanced question answering, which aligns with the evaluation of reasoning benchmarks in the expanded context. However, it does not directly mention ARC being used for evaluating security optimization of models.",strongly_supported_citation,False
21,verified,Verified,exact_identifier_match,match,match,0.99,0.95,supported,0.0,False,,exact,arxiv_id_exact,arxiv,Training Verifiers to Solve Math Word Problems,Selected candidate came from exact; title=exact; authors=exact; year=exact; arxiv_id=exact; overall_status=verified.,"The abstract discusses the challenges faced by state-of-the-art language models in performing multi-step mathematical reasoning and introduces GSM8K, a benchmark for grade-school math word problems. This aligns with the context mentioning GSM8K as a benchmark for evaluating model capabilities.",strongly_supported_citation,False
22,partially_verified,Partially Verified,author/year mismatch,match,partial,1.0,0.8475,skipped,0.0,True,no_candidate_abstract,lexical,lexical_top_1,dblp,Measuring Massive Multitask Language Understanding.,Selected candidate came from lexical; title=exact; authors=exact; year=partial; overall_status=partially_verified.,no_candidate_abstract,needs_manual_review,True
23,verified,Verified,strong_metadata_match,match,match,0.93,0.9,supported,0.0,False,,exact,title_year_exact,arxiv,The Llama 3 Herd of Models,Selected candidate came from exact; title=exact; authors=exact; year=exact; overall_status=verified.,"The abstract discusses the Llama 3 models, which aligns with the citation context mentioning Llama3 as one of the families of models evaluated.",strongly_supported_citation,False
24,verified,Verified,exact_identifier_match,partial,match,0.99,0.92,supported,0.0,False,,exact,arxiv_id_exact,arxiv,Gemma 3 Technical Report,Selected candidate came from exact; title=exact; authors=partial; year=exact; arxiv_id=exact; overall_status=verified.,"The abstract directly discusses the introduction and improvements of Gemma 3, which aligns with the mention of Gemma3 in the expanded context.",strongly_supported_citation,False
25,hallucinated,Not Verified,no_candidate_found,mismatch,mismatch,0.0,0.0,skipped,0.0,True,no_selected_candidate,,,,,No fused candidate was available for verification.,no_selected_candidate,likely_problematic,True
26,partially_verified,Partially Verified,author/year mismatch,partial,match,1.0,0.8125,skipped,0.0,True,no_candidate_abstract,lexical,lexical_top_1,dblp,Learning from mistakes: a comprehensive study on real world concurrency bug characteristics.,Selected candidate came from lexical; title=exact; authors=partial; year=exact; overall_status=partially_verified.,no_candidate_abstract,needs_manual_review,True
27,partially_verified,Partially Verified,author/year mismatch,partial,match,1.0,0.8125,skipped,0.0,True,no_candidate_abstract,lexical,lexical_top_1,dblp,SoK: Eternal War in Memory.,Selected candidate came from lexical; title=exact; authors=partial; year=exact; overall_status=partially_verified.,no_candidate_abstract,needs_manual_review,True
28,verified,Verified,strong_metadata_match,match,match,1.0,0.9,skipped,0.0,True,no_candidate_abstract,lexical,lexical_top_1,dblp,A survey of mobile malware in the wild.,Selected candidate came from lexical; title=exact; authors=exact; year=exact; overall_status=verified.,no_candidate_abstract,needs_manual_review,True
29,verified,Verified,strong_metadata_match,match,match,1.0,0.9,skipped,0.0,True,no_candidate_abstract,lexical,lexical_top_1,dblp,"FlowDroid: precise context, flow, field, object-sensitive and lifecycle-aware taint analysis for Android apps.",Selected candidate came from lexical; title=exact; authors=exact; year=exact; overall_status=verified.,no_candidate_abstract,needs_manual_review,True
30,verified,Verified,exact_identifier_match,partial,match,0.99,0.92,supported,0.0,False,,exact,arxiv_id_exact,arxiv,TwinBreak: Jailbreaking LLM Security Alignments based on Twin Prompts,Selected candidate came from exact; title=exact; authors=partial; year=exact; arxiv_id=exact; overall_status=verified.,"The abstract discusses methods to bypass LLM security mechanisms, which aligns with the context of evaluating security neuron identification and the potential risks associated with LLMs.",strongly_supported_citation,False
31,partially_verified,Partially Verified,author/year mismatch,match,partial,1.0,0.8475,skipped,0.0,True,no_candidate_abstract,lexical,lexical_top_1,dblp,NeuroStrike: Neuron-Level Attacks on Aligned LLMs.,Selected candidate came from lexical; title=exact; authors=exact; year=partial; overall_status=partially_verified.,no_candidate_abstract,needs_manual_review,True
32,verified,Verified,strong_metadata_match,match,match,1.0,0.9,skipped,0.0,True,no_candidate_abstract,lexical,lexical_top_1,dblp,An Empirical Study of the Copy and Paste Behavior during Development.,Selected candidate came from lexical; title=exact; authors=exact; year=exact; overall_status=verified.,no_candidate_abstract,needs_manual_review,True
33,verified,Verified,exact_identifier_match,match,match,0.99,0.95,supported,0.0,False,,exact,arxiv_id_exact,arxiv,Secure-Instruct: An Automated Pipeline for Synthesizing Instruction-Tuning Datasets Using LLMs for Secure Code Generation,Selected candidate came from exact; title=exact; authors=exact; year=exact; arxiv_id=exact; overall_status=verified.,"The abstract directly addresses the creation of instruction-tuning datasets for secure code generation and mentions improvements over existing methods like SafeCoder, which aligns with the context provided.",strongly_supported_citation,False
34,verified,Verified,exact_identifier_match,partial,match,0.99,0.92,supported,1.0,False,,exact,arxiv_id_exact,arxiv,HexaCoder: Secure Code Generation via Oracle-Guided Synthetic Training Data,Selected candidate came from exact; title=exact; authors=partial; year=exact; arxiv_id=exact; overall_status=verified.,"The abstract directly discusses HexaCoder's approach to enhancing secure code generation through oracle-guided data synthesis and fine-tuning with LoRA, which aligns with the context provided.",strongly_supported_citation,False
35,verified,Verified,strong_metadata_match,match,match,1.0,0.9,skipped,0.0,True,no_candidate_abstract,lexical,lexical_top_1,dblp,PromSec: Prompt Optimization for Secure Generation of Functional Source Code with Large Language Models (LLMs).,Selected candidate came from lexical; title=exact; authors=exact; year=exact; overall_status=verified.,no_candidate_abstract,needs_manual_review,True
36,partially_verified,Partially Verified,minor_title_mismatch,match,match,1.0,0.8,skipped,0.0,True,no_candidate_abstract,lexical,lexical_top_1,dblp,Demo: SGCode: A Flexible Prompt-Optimizing System for Secure Generation of Code.,Selected candidate came from lexical; title=partial; authors=exact; year=exact; overall_status=partially_verified.,no_candidate_abstract,needs_manual_review,True
37,verified,Verified,exact_identifier_match,match,match,0.99,0.95,supported,0.0,False,,exact,arxiv_id_exact,arxiv,SecCoder: Towards Generalizable and Robust Secure Code Generation,Selected candidate came from exact; title=exact; authors=exact; year=exact; arxiv_id=exact; overall_status=verified.,"The abstract directly addresses the need for secure code generation methods with improved generalizability and robustness, which aligns with the context provided about SecCoder.",strongly_supported_citation,False
